"","genre","year","m_popularity","m_danceability","m_energy","m_loudness","m_acousticness","m_tempo","m_duration_ms","m_valence","m_liveness"
"176","r&b",2004,34.3440860215054,0.690655913978495,0.564562365591398,-7.93494623655914,0.272559677419355,110.606698924731,255088.430107527,0.603182795698925,0.190263440860215
"177","r&b",2005,25.4766355140187,0.671056074766355,0.60811214953271,-7.36471962616822,0.223114934579439,121.232046728972,258896.635514019,0.619179439252336,0.185542056074766
"178","r&b",2006,26.1882352941176,0.632682352941176,0.573929411764706,-7.55709411764706,0.296660764705882,111.581988235294,248333.870588235,0.5373,0.178485882352941
"179","r&b",2007,24.1609195402299,0.667540229885057,0.602114942528736,-7.57794252873563,0.285758505747126,112.511862068966,255674.310344828,0.621310344827586,0.161635632183908
"180","r&b",2008,23.4580152671756,0.655839694656489,0.594865648854962,-7.58436641221374,0.271856259541985,112.091923664122,255098.702290076,0.574106870229008,0.192124427480916
"181","r&b",2009,19.5072463768116,0.642115942028985,0.627115942028985,-7.57549275362319,0.260302463768116,110.711898550725,248910.014492754,0.572205797101449,0.186355072463768
"182","r&b",2010,30.0823529411765,0.622635294117647,0.607604705882353,-7.25055294117647,0.260922764705882,117.665341176471,257831.211764706,0.556176470588235,0.175632941176471
"183","r&b",2011,28.912,0.629992,0.608272,-7.951344,0.28326048,116.461624,258862.856,0.5431272,0.1922368
"184","r&b",2012,35.7007874015748,0.628496062992126,0.585848031496063,-7.75156692913386,0.313727929133858,112.371661417323,260386.181102362,0.484587401574803,0.182459842519685
"185","r&b",2013,30.6379310344828,0.631094827586207,0.57903275862069,-7.89851724137931,0.310447853448276,117.582474137931,239925.068965517,0.509949137931034,0.17834224137931
"186","r&b",2014,28.78391959799,0.648115577889447,0.611507537688442,-7.68301005025126,0.233017577889447,117.134567839196,243949.819095477,0.525885427135678,0.179749748743719
"187","r&b",2015,34.9716599190283,0.653951417004049,0.572273279352227,-7.86490688259109,0.290659826315789,112.463809716599,235915.32388664,0.456327530364372,0.186733198380567
"188","r&b",2016,41.6125356125356,0.643185185185185,0.570773789173789,-7.6481339031339,0.291266335612536,116.146726495726,228993.145299145,0.476096011396011,0.204219373219373
"189","r&b",2017,47.3340517241379,0.640672413793103,0.571025,-7.67468534482759,0.305785226293103,115.150198275862,223403.032327586,0.441276724137931,0.168233405172414
"190","r&b",2018,50.033185840708,0.659997787610619,0.553620575221239,-7.37118584070796,0.335863818584071,114.265674778761,213989.205752212,0.430375884955752,0.16768296460177
"191","r&b",2019,57.8744354110208,0.681924119241192,0.595972809394761,-7.02786811201445,0.258465466124661,115.407537488708,200679.06504065,0.483721860885276,0.164640469738031
"192","r&b",2020,48.4838709677419,0.698559139784946,0.598698924731183,-7.1788064516129,0.240166129032258,120.053817204301,193489.182795699,0.486394623655914,0.170560215053763
"193","r&b",NA,58,0.6405,0.608,-10.788,0.1669,93.64075,262896.5,0.556,0.270775
"194","rap",1968,53.5,0.6255,0.4075,-11.4535,0.2675,97.6225,251882.5,0.8105,0.1059
"195","rap",1969,38,0.545,0.669,-6.239,0.314,102.041,177733,0.886,0.0553
"196","rap",1970,12,0.3995,0.719,-6.721,0.3955,152.4055,301953.5,0.5885,0.2415
"197","rap",1971,3,0.545,0.757,-5.228,0.408,152.217,436000,0.714,0.16
"198","rap",1972,52,0.567,0.687,-10.536,0.29,99.93,267480,0.625,0.121
