"","genre","subgenre","year","subgenre_mean"
"460","r&b","new jack swing",2003,27.4838709677419
"461","r&b","new jack swing",2004,29.96875
"462","r&b","new jack swing",2005,17.8510638297872
"463","r&b","new jack swing",2006,11.5625
"464","r&b","new jack swing",2007,19.8333333333333
"465","r&b","new jack swing",2008,18.2105263157895
"466","r&b","new jack swing",2009,13.3529411764706
"467","r&b","new jack swing",2010,21.2307692307692
"468","r&b","new jack swing",2011,7.6875
"469","r&b","new jack swing",2012,10.5333333333333
"470","r&b","new jack swing",2013,16
"471","r&b","new jack swing",2014,16.28125
"472","r&b","new jack swing",2015,18
"473","r&b","new jack swing",2016,24.6666666666667
"474","r&b","new jack swing",2017,7.66666666666667
"475","r&b","new jack swing",2018,58
"476","r&b","new jack swing",2019,18.5
"477","r&b","urban contemporary",1957,59
"478","r&b","urban contemporary",1960,19
"479","r&b","urban contemporary",1961,47
"480","r&b","urban contemporary",1962,64
"481","r&b","urban contemporary",1965,40.6666666666667
"482","r&b","urban contemporary",1966,37
"483","r&b","urban contemporary",1967,66
"484","r&b","urban contemporary",1968,72
"485","r&b","urban contemporary",1969,62.25
"486","r&b","urban contemporary",1970,50.3333333333333
"487","r&b","urban contemporary",1971,46.3333333333333
"488","r&b","urban contemporary",1972,52.6
"489","r&b","urban contemporary",1973,28
"490","r&b","urban contemporary",1974,38.3
"491","r&b","urban contemporary",1975,44.7142857142857
"492","r&b","urban contemporary",1976,53.2222222222222
"493","r&b","urban contemporary",1977,37.6666666666667
"494","r&b","urban contemporary",1978,50.6
"495","r&b","urban contemporary",1979,70
"496","r&b","urban contemporary",1980,52
"497","r&b","urban contemporary",1981,68.5
"498","r&b","urban contemporary",1982,53.5
"499","r&b","urban contemporary",1983,65
"500","r&b","urban contemporary",1984,53
"501","r&b","urban contemporary",1985,58.5
"502","r&b","urban contemporary",1986,50.6666666666667
"503","r&b","urban contemporary",1987,2
"504","r&b","urban contemporary",1988,47.75
"505","r&b","urban contemporary",1989,53
"506","r&b","urban contemporary",1990,45.4
"507","r&b","urban contemporary",1991,60.3333333333333
"508","r&b","urban contemporary",1992,49.75
"509","r&b","urban contemporary",1993,55.2
"510","r&b","urban contemporary",1994,42.75
"511","r&b","urban contemporary",1995,44.5
"512","r&b","urban contemporary",1996,55.8888888888889
"513","r&b","urban contemporary",1997,57.9166666666667
"514","r&b","urban contemporary",1998,46.2727272727273
"515","r&b","urban contemporary",1999,57.0769230769231
"516","r&b","urban contemporary",2000,42.2857142857143
"517","r&b","urban contemporary",2001,52.9285714285714
"518","r&b","urban contemporary",2002,41.9090909090909
"519","r&b","urban contemporary",2003,56.4615384615385
"520","r&b","urban contemporary",2004,40.5384615384615
"521","r&b","urban contemporary",2005,45.4615384615385
"522","r&b","urban contemporary",2006,50.7142857142857
"523","r&b","urban contemporary",2007,57.5
"524","r&b","urban contemporary",2008,38.5555555555556
"525","r&b","urban contemporary",2009,35.5
"526","r&b","urban contemporary",2010,21.6315789473684
"527","r&b","urban contemporary",2011,36.1176470588235
"528","r&b","urban contemporary",2012,52.8571428571429
"529","r&b","urban contemporary",2013,30.7407407407407
"530","r&b","urban contemporary",2014,34.6410256410256
"531","r&b","urban contemporary",2015,33.7162162162162
"532","r&b","urban contemporary",2016,45.8153846153846
"533","r&b","urban contemporary",2017,51.6645161290323
"534","r&b","urban contemporary",2018,50.5852272727273
"535","r&b","urban contemporary",2019,60.9236276849642
"536","r&b","urban contemporary",2020,54.3333333333333
"537","r&b","urban contemporary",NA,54.3333333333333
"538","rap","gangster rap",1987,57.5
"539","rap","gangster rap",1988,38.5
"540","rap","gangster rap",1989,51
"541","rap","gangster rap",1990,51
"542","rap","gangster rap",1991,44.8888888888889
"543","rap","gangster rap",1992,34
"544","rap","gangster rap",1993,49.0666666666667
"545","rap","gangster rap",1994,42.53125
"546","rap","gangster rap",1995,49.2173913043478
"547","rap","gangster rap",1996,50.5128205128205
"548","rap","gangster rap",1997,37.304347826087
"549","rap","gangster rap",1998,31.3333333333333
"550","rap","gangster rap",1999,34.175
"551","rap","gangster rap",2000,23.7692307692308
"552","rap","gangster rap",2001,24.1666666666667
"553","rap","gangster rap",2002,23.9
"554","rap","gangster rap",2003,33.55
"555","rap","gangster rap",2004,27.1470588235294
"556","rap","gangster rap",2005,19.3953488372093
"557","rap","gangster rap",2006,26.5882352941176
"558","rap","gangster rap",2007,30.275
"559","rap","gangster rap",2008,23.0909090909091
"560","rap","gangster rap",2009,15.6666666666667
"561","rap","gangster rap",2010,23.6176470588235
"562","rap","gangster rap",2011,28.4864864864865
"563","rap","gangster rap",2012,35.6896551724138
"564","rap","gangster rap",2013,24.6818181818182
"565","rap","gangster rap",2014,26.2549019607843
"566","rap","gangster rap",2015,32.3763440860215
"567","rap","gangster rap",2016,37.6415094339623
"568","rap","gangster rap",2017,31.3060109289617
"569","rap","gangster rap",2018,36.5889570552147
"570","rap","gangster rap",2019,48.5927835051546
"571","rap","gangster rap",2020,46.2
"572","rap","hip hop",1995,73
"573","rap","hip hop",1996,77
"574","rap","hip hop",1998,63
"575","rap","hip hop",1999,55.75
"576","rap","hip hop",2000,44.3333333333333
"577","rap","hip hop",2001,56.3333333333333
"578","rap","hip hop",2002,58
"579","rap","hip hop",2003,58.5
"580","rap","hip hop",2004,52.7857142857143
"581","rap","hip hop",2005,50.2142857142857
"582","rap","hip hop",2006,58.6
"583","rap","hip hop",2007,47.6
"584","rap","hip hop",2008,57.7777777777778
"585","rap","hip hop",2009,55.1111111111111
"586","rap","hip hop",2010,66.1666666666667
"587","rap","hip hop",2012,68
"588","rap","hip hop",2013,5.5
"589","rap","hip hop",2014,56.6153846153846
"590","rap","hip hop",2015,54.2051282051282
"591","rap","hip hop",2016,55.3333333333333
"592","rap","hip hop",2017,46.0769230769231
"593","rap","hip hop",2018,49.2718894009217
"594","rap","hip hop",2019,55.2760898282695
"595","rap","hip hop",2020,55.8367346938776
"596","rap","southern hip hop",1968,53.5
"597","rap","southern hip hop",1969,38
"598","rap","southern hip hop",1970,12
"599","rap","southern hip hop",1971,3
"600","rap","southern hip hop",1972,52
"601","rap","southern hip hop",1973,38
"602","rap","southern hip hop",1974,64.5
"603","rap","southern hip hop",1976,36
"604","rap","southern hip hop",1978,72
"605","rap","southern hip hop",1981,36
"606","rap","southern hip hop",1982,62.5
"607","rap","southern hip hop",1983,39
"608","rap","southern hip hop",1984,43
"609","rap","southern hip hop",1985,45
"610","rap","southern hip hop",1986,57
"611","rap","southern hip hop",1987,45.3333333333333
"612","rap","southern hip hop",1988,42.3333333333333
"613","rap","southern hip hop",1989,41.25
"614","rap","southern hip hop",1990,34.125
